Model,Dataset,Accuracy,F1-Score,ROC-AUC
Random Forest,raw_nonfs,0.8823,0.2344,0.8401
XGBoost,raw_nonfs,0.882,0.2601,0.8598
LightGBM,raw_nonfs,0.686,0.3292,0.8292
Extra Trees,raw_nonfs,0.8823,0.2366,0.8342
Random Forest,smote_nonfs,0.8804,0.2755,0.843
XGBoost,smote_nonfs,0.881,0.2707,0.8526
LightGBM,smote_nonfs,0.8811,0.2676,0.8554
Extra Trees,smote_nonfs,0.8819,0.2638,0.8397
Random Forest,adasyn_nonfs,0.8804,0.2767,0.8446
XGBoost,adasyn_nonfs,0.8809,0.2662,0.8534
LightGBM,adasyn_nonfs,0.8815,0.268,0.8556
Extra Trees,adasyn_nonfs,0.8812,0.2586,0.8382
Random Forest,bsmote_nonfs,0.8791,0.2712,0.8377
XGBoost,bsmote_nonfs,0.8808,0.2841,0.8472
LightGBM,bsmote_nonfs,0.8806,0.2763,0.8448
Extra Trees,bsmote_nonfs,0.8816,0.2566,0.833
Random Forest,smotetomek_nonfs,0.8803,0.2785,0.8422
XGBoost,smotetomek_nonfs,0.8811,0.269,0.8527
LightGBM,smotetomek_nonfs,0.8812,0.2681,0.8552
Extra Trees,smotetomek_nonfs,0.8815,0.263,0.8383
Random Forest,smoteenn_nonfs,0.8298,0.3288,0.8465
XGBoost,smoteenn_nonfs,0.8391,0.3677,0.8464
LightGBM,smoteenn_nonfs,0.8746,0.3119,0.8509
Extra Trees,smoteenn_nonfs,0.8096,0.3296,0.8367
Random Forest,dbscansmote_nonfs,0.8807,0.2777,0.8428
XGBoost,dbscansmote_nonfs,0.8808,0.2692,0.8528
LightGBM,dbscansmote_nonfs,0.8815,0.2676,0.8557
Extra Trees,dbscansmote_nonfs,0.8819,0.2638,0.8397
Random Forest,dbscanros_nonfs,0.8823,0.2393,0.843
XGBoost,dbscanros_nonfs,0.6878,0.3279,0.8284
LightGBM,dbscanros_nonfs,0.6879,0.331,0.8297
Extra Trees,dbscanros_nonfs,0.8823,0.2362,0.8365
